key,fare_amount,inr,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count
2015-05-07 19:52:06,7.5,640.99125,2015-05-07 19:52:06 UTC,-73.99981689,40.73835373,-73.99951172,40.72321701,1
2009-07-17 20:04:56,7.7,658.08435,2009-07-17 20:04:56 UTC,-73.994355,40.728225,-73.99471,40.750325,1
2009-08-24 21:45:00,12.9,1102.50495,2009-08-24 21:45:00 UTC,-74.005043,40.74077,-73.962565,40.772647,1
2009-06-26 8:22:21,5.3,452.96715,2009-06-26 08:22:21 UTC,-73.976124,40.790844,-73.965316,40.803349,3
2014-08-28 17:47:00,16,1367.448,2014-08-28 17:47:00 UTC,-73.925023,40.744085,-73.973082,40.761247,5
2011-02-12 2:27:09,4.9,418.78095,2011-02-12 02:27:09 UTC,-73.969019,40.75591,-73.969019,40.75591,1
2014-10-12 7:04:00,24.5,2093.90475,2014-10-12 07:04:00 UTC,-73.961447,40.693965,-73.871195,40.774297,5
2012-12-11 13:52:00,2.5,213.66375,2012-12-11 13:52:00 UTC,0,0,0,0,1
2012-02-17 9:32:00,9.7,829.01535,2012-02-17 09:32:00 UTC,-73.975187,40.745767,-74.00272,40.743537,1
2012-03-29 19:06:00,12.5,1068.31875,2012-03-29 19:06:00 UTC,-74.001065,40.741787,-73.96304,40.775012,1
2015-05-22 17:32:27,6.5,555.52575,2015-05-22 17:32:27 UTC,-73.97438812,40.74695206,-73.98858643,40.72980499,1
2011-05-23 22:15:00,8.5,726.45675,2011-05-23 22:15:00 UTC,0,0,0,0,1
2011-05-17 14:03:00,3.3,282.03615,2011-05-17 14:03:00 UTC,-73.966378,40.80444,-73.96589,40.807133,5
2011-06-25 11:19:00,10.9,931.57395,2011-06-25 11:19:00 UTC,-73.953352,40.767382,-73.97251,40.796137,1
2010-04-06 22:20:27,6.9,589.71195,2010-04-06 22:20:27 UTC,-73.97337,40.755193,-73.978265,40.766375,1
2012-02-21 9:33:00,9.7,829.01535,2012-02-21 09:33:00 UTC,-73.990718,40.75192,-73.973053,40.74423,2
2011-09-01 9:21:40,4.9,418.78095,2011-09-01 09:21:40 UTC,-73.988908,40.756982,-73.981246,40.76005,1
2011-03-19 23:58:27,10.5,897.38775,2011-03-19 23:58:27 UTC,-74.005665,40.741138,-73.97783,40.749338,2
2015-03-25 8:58:35,12,1025.586,2015-03-25 08:58:35 UTC,-73.96253204,40.76718903,-73.97445679,40.75386047,1
2009-08-08 0:20:00,4.9,418.78095,2009-08-08 00:20:00 UTC,-73.992075,40.719633,-73.985323,40.727405,1
2014-02-18 14:26:00,10.5,897.38775,2014-02-18 14:26:00 UTC,-73.980022,40.74599,-74.003432,40.759667,1
2015-03-03 23:15:03,5,427.3275,2015-03-03 23:15:03 UTC,-73.98918915,40.72914124,-73.9872818,40.72063446,2
2009-11-26 2:58:00,4.1,350.40855,2009-11-26 02:58:00 UTC,-74.010798,40.726085,-74.009767,40.737402,2
2010-09-04 16:12:00,7.7,658.08435,2010-09-04 16:12:00 UTC,-73.9943,40.739512,-73.98807,40.724482,2
2010-05-12 22:32:00,12.9,1102.50495,2010-05-12 22:32:00 UTC,-73.972987,40.76404,-74.00782,40.714993,5
2009-02-12 17:52:18,9.5,811.92225,2009-02-12 17:52:18 UTC,-73.986059,40.757159,-73.97613,40.780589,1
2014-01-21 6:55:00,5,427.3275,2014-01-21 06:55:00 UTC,-73.957802,40.776372,-73.957422,40.78287,1
2012-11-21 17:37:19,12,1025.586,2012-11-21 17:37:19 UTC,-73.993909,40.741551,-73.987874,40.770232,1
2009-05-06 20:06:23,4.9,418.78095,2009-05-06 20:06:23 UTC,-73.97778,40.763656,-73.989486,40.772966,1
2011-12-24 2:52:00,7.3,623.89815,2011-12-24 02:52:00 UTC,-73.971075,40.787833,-73.944957,40.784302,5
2011-05-21 9:00:00,25.7,2196.46335,2011-05-21 09:00:00 UTC,-73.944815,40.834367,-73.989332,40.72192,4
2009-02-28 15:54:57,7.7,658.08435,2009-02-28 15:54:57 UTC,-74.004184,40.712975,-73.988385,40.725102,1
2013-02-11 19:09:00,10.5,897.38775,2013-02-11 19:09:00 UTC,-73.982085,40.771387,-73.95961,40.769445,1
2013-09-10 20:50:25,11,940.1205,2013-09-10 20:50:25 UTC,-73.991186,40.741393,-74.00971,40.716455,2
2014-06-04 6:49:00,39.5,3375.88725,2014-06-04 06:49:00 UTC,-73.78808,40.642187,-73.865042,40.725997,4
2009-06-05 5:35:00,8.1,692.27055,2009-06-05 05:35:00 UTC,-73.98869,40.751273,-73.95881,40.764643,3
2011-02-19 16:31:00,5.7,487.15335,2011-02-19 16:31:00 UTC,-74.010863,40.710813,-74.001205,40.718745,1
2011-08-31 19:47:00,6.9,589.71195,2011-08-31 19:47:00 UTC,-73.968697,40.754998,-73.987302,40.73594,1
2010-05-18 21:28:00,7.7,658.08435,2010-05-18 21:28:00 UTC,-73.96837,40.759005,-73.979105,40.77757,3
2014-02-13 17:57:00,29,2478.4995,2014-02-13 17:57:00 UTC,-73.9926,40.753172,-73.908508,40.816192,1
2010-04-01 14:42:00,15.7,1341.80835,2010-04-01 14:42:00 UTC,-73.97336,40.786952,-73.97281,40.743548,1
2014-04-02 14:58:32,9,769.1895,2014-04-02 14:58:32 UTC,-73.970164,40.765016,-73.962801,40.77478,1
2011-02-01 15:25:03,4.9,418.78095,2011-02-01 15:25:03 UTC,-73.987139,40.753038,-73.977794,40.751834,1
